Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source
Afghanistan,126,82,3109153,16,594982,28,1051783,0,4,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2151
Albania,127,83,238492,16,45058,28,79651,0,8,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2160
Algeria,135,91,3918529,16,673360,28,1190335,0,12,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2107
Andorra,123,84,6497,13,988,26,1971,1,20,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2161
Angola,144,100,3169523,16,497755,28,879908,0,24,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2176
Antigua and Barbuda,113,74,7178,13,1244,26,2483,1,28,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2046
Argentina,116,72,3243563,16,700380,28,1238100,0,32,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2047
Armenia,137,93,275195,16,46259,28,81775,0,51,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2227
Aruba,113,74,7858,13,1362,26,2718,1,533,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2048
Australia,133,102,2563110,9,238248,22,546340,1,36,Australia and New Zealand,https://www.unep.org/resources/report/unep-food-waste-index-report-2021
Austria,76,39,349249,9,77289,28,254191,1,40,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2245
Azerbaijan,137,93,934872,16,157148,28,277800,0,31,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2228
Bahamas,113,74,28792,13,4990,26,9960,1,44,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2049
Bahrain,171,132,216161,13,21026,26,41966,1,48,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2229
Bangladesh,84,65,10618233,16,2550080,3,544436,0,50,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2152
Barbados,113,74,21215,13,3677,26,7339,1,52,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2050
Belarus,112,68,646356,16,147838,28,261341,0,112,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2035
Belgium,80,50,576036,10,112100,20,227371,1,56,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2246
Belize,97,53,20564,16,6106,28,10794,0,84,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2051
Benin,144,100,1175297,16,184573,28,326280,0,204,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2177
Bermuda,113,74,4606,13,801,26,1598,1,60,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2114
Bhutan,123,79,60000,16,11935,28,21098,0,64,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2153
Bolivia (Plurin. State of),124,80,922012,16,180068,28,318315,0,68,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2052
Bosnia and Herzegovina,127,83,273269,16,51628,28,91266,0,70,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2162
Botswana,136,92,211802,16,36030,28,63693,0,72,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2178
Brazil,104,60,12578308,16,3300862,28,5835112,0,76,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2054
British Virgin Islands,113,74,2218,13,384,26,767,1,92,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2055
Brunei Darussalam,119,80,34739,13,5551,26,11080,1,96,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2140
Bulgaria,112,68,478667,16,109483,28,193539,0,100,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2036
Burkina Faso,147,103,2086893,16,317831,28,561848,0,854,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2179
Burundi,147,103,1184127,16,180341,28,318799,0,108,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2180
Cabo Verde,144,100,54765,16,8601,28,15204,0,132,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2181
Cambodia,130,86,1423397,16,257853,28,455820,0,116,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2141
Cameroon,144,100,2577064,16,404713,28,715433,0,120,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2182
Canada,118,79,2938321,13,479284,26,956615,1,124,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2115
Cayman Islands,113,74,4797,13,831,26,1660,1,136,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2056
Central African Republic,147,103,487305,16,74216,28,131196,0,140,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2183
Chad,147,103,1637656,16,249413,28,440901,0,148,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2184
Chile,113,74,1400946,13,242800,26,484611,1,152,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2057
China,126,64,91646213,16,22424705,46,65377741,0,156,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2028
"China, Hong Kong SAR",110,71,530985,13,95267,26,190147,1,344,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2029
"China, Macao SAR",110,71,45728,13,8204,26,16375,1,446,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2030
Colombia,114,70,3545499,16,787320,28,1391787,0,170,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2058
Comoros,144,100,84742,16,13308,28,23526,0,174,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2185
Congo,144,100,535851,16,84152,28,148760,0,178,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2186
Costa Rica,116,72,365609,16,78946,28,139556,0,188,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2059
Côte d’Ivoire,144,100,2561140,16,402212,28,711012,0,384,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2187
Croatia,123,84,348070,13,52915,26,105613,1,191,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2163
Cuba,116,72,820910,16,177259,28,313349,0,192,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2060
Curaçao,113,74,12079,13,2093,26,4178,1,531,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2061
Cyprus,134,95,113306,13,15356,26,30649,1,196,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2230
Czechia,109,70,746840,13,136943,26,273327,1,203,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2037
Dem. People's Rep. Korea,125,81,2070528,16,401425,28,709621,0,408,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2031
Dem. Rep. of the Congo,147,103,8912903,16,1357425,28,2399593,0,180,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2188
Denmark,132,81,469449,30,172003,21,119134,1,208,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2119
Djibouti,144,100,96962,16,15227,28,26918,0,262,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2189
Dominica,116,72,5201,16,1123,28,1985,0,212,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2062
Dominican Republic,116,72,777849,16,167960,28,296913,0,214,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2063
Ecuador,116,72,1258415,16,271729,28,480349,0,218,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2064
Egypt,135,91,9136941,16,1570093,28,2775538,0,818,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2108
El Salvador,124,80,516828,16,100936,28,178430,0,222,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2065
Equatorial Guinea,136,92,124670,16,21208,28,37491,0,226,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2190
Eritrea,147,103,359132,16,54695,28,96688,0,232,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2191
Estonia,100,78,102743,5,6243,17,22013,1,233,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2120
Eswatini,144,100,114341,16,17957,28,31743,0,748,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2192
Ethiopia,136,92,10327236,16,1752936,28,3098760,0,231,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2193
Faroe Islands,115,76,3710,13,624,26,1245,1,234,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2121
Fiji,120,76,67385,16,13920,28,24607,0,242,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2095
Finland,101,65,361937,13,70875,23,128927,1,246,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2122
France,135,85,5522358,26,1667568,24,1594579,1,250,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2247
French Polynesia,118,79,21978,13,3578,26,7142,1,258,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2133
Gabon,136,92,199748,16,33980,28,60068,0,266,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2194
Gambia,147,103,241095,16,36719,28,64909,0,270,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2195
Georgia,145,101,403573,16,62511,28,110504,0,268,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2231
Germany,102,75,6263775,6,498244,21,1718433,1,276,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2248
Ghana,128,84,2555332,16,475743,28,840996,0,288,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2196
Gibraltar,123,84,2840,13,432,26,862,1,292,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2164
